,eps,n,alpha,beta,gamma,phi**2,psi**2
19876,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
21590,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
21276,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
47969,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
36911,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
3184,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
24755,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
30035,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
21839,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37842,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
28936,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4156,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
36146,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
36366,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
30736,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
48453,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
41989,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
14132,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
38952,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
47724,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
34365,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
83,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
30622,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
46650,2.228,1.4601,0.0,0.0,38.04,0.0,0.6400000000000001
3194,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
31216,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
14822,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27937,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
40892,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
45386,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
35379,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
37177,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
43071,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
8385,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
23076,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
45664,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
7569,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
17507,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
16369,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
18358,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
32277,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
41092,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
28350,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
230,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
48015,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
1574,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
27346,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
41035,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
44686,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
28112,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4503,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20203,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
17726,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
35696,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
27511,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
1275,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
21315,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
1345,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
14061,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48634,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
35538,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
3913,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
8444,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
42918,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
29376,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
43777,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
1238,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4595,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8803,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
41108,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
52995,4.2247,1.5174,0.0,0.29,50.52,0.5625,0.0
43122,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
31808,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
43276,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
29394,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
39245,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
37688,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
36152,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
43606,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
8435,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10362,20.524,1.385,0.37,0.48,33.57,0.0,0.0
17148,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
21937,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
28586,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
12684,20.524,1.385,0.37,0.48,33.57,0.0,0.0
43141,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
15183,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
18091,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37824,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
20227,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
15804,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
905,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
40861,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
34395,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
17517,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37879,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
4906,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33770,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
24457,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
48840,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
34909,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
51412,10.125,1.4448,0.1,0.11,45.86,0.0,0.25
27292,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
17357,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
3928,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
31932,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
11304,20.524,1.385,0.37,0.48,33.57,0.0,0.0
13536,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13783,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
31367,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
28612,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
38911,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
691,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
1585,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
485,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
341,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
35321,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
13810,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
617,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
48901,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
39152,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
48379,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
8918,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4582,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
5215,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20028,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37968,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
1866,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
22859,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
28150,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
3666,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
10464,20.524,1.385,0.37,0.48,33.57,0.0,0.0
21411,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
38745,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
15863,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
26819,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
36502,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
47880,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
6071,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
53673,1.9406,1.3974,0.0,0.0,30.43,0.0,0.0
37958,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
19220,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
9632,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
39306,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
26531,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
34043,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
20555,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
1972,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
17753,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
50068,11.321,1.4249,0.37,0.48,38.5,0.0,0.0
37007,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
40120,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
7160,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20824,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
28781,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
8907,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24778,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
39421,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
7321,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4764,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13246,20.524,1.385,0.37,0.48,33.57,0.0,0.0
46514,2.228,1.4601,0.0,0.0,38.04,0.0,0.6400000000000001
22527,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
17441,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
14886,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
23027,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
1227,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
15490,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
15900,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
20527,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
34254,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
48835,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
27931,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
3557,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
17430,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
15,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23726,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
25453,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
17981,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
17402,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
22721,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
23889,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
14971,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
17884,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
8974,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
36519,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
37,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
47291,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
39713,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
10160,20.524,1.385,0.37,0.48,33.57,0.0,0.0
10272,20.524,1.385,0.37,0.48,33.57,0.0,0.0
33372,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
39480,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
8172,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
40322,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
16591,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
30587,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
27251,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
32066,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
19894,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
11836,20.524,1.385,0.37,0.48,33.57,0.0,0.0
10430,20.524,1.385,0.37,0.48,33.57,0.0,0.0
13436,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
39322,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
6826,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
31286,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
39929,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
20510,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
31439,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
8667,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
34233,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
20491,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
31584,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
6059,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4896,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32195,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
48090,12.47,1.3878,0.31,0.6,28.73,0.0,0.0
16748,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
34904,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
21665,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
12049,20.524,1.385,0.37,0.48,33.57,0.0,0.0
10471,20.524,1.385,0.37,0.48,33.57,0.0,0.0
43266,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
36282,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
14773,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
27901,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
37808,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
11759,20.524,1.385,0.37,0.48,33.57,0.0,0.0
16843,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
17675,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
42535,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
36888,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
776,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
9414,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33572,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
47102,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
28926,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
38346,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
30937,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
31178,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
48324,1.9113,1.3878,0.0,0.0,28.28,0.0,0.0
14805,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13887,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
24957,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
12059,20.524,1.385,0.37,0.48,33.57,0.0,0.0
26180,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
37169,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
52816,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
8558,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
9235,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28749,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
17375,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
47302,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
25648,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
31633,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
4711,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20835,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27471,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
24742,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
29313,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
6346,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
11939,20.524,1.385,0.37,0.48,33.57,0.0,0.0
9458,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
31011,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
12976,20.524,1.385,0.37,0.48,33.57,0.0,0.0
23455,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
420,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
43671,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
20038,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
48120,1.9113,1.3878,0.0,0.0,28.28,0.0,0.0
41523,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
40501,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
24147,8.93,1.4242,0.1,0.05,39.15,0.0,0.444889
42617,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
3576,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
25538,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
34376,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
11492,20.524,1.385,0.37,0.48,33.57,0.0,0.0
29813,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
35340,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
5031,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30262,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
4954,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
22959,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8677,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8992,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21470,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
11788,20.524,1.385,0.37,0.48,33.57,0.0,0.0
26315,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
22099,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
49407,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
31958,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
21726,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
346,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
40402,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
38751,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
28874,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
33960,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
31082,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
8748,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
12407,20.524,1.385,0.37,0.48,33.57,0.0,0.0
11948,20.524,1.385,0.37,0.48,33.57,0.0,0.0
47661,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
19670,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
8202,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
4757,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
46753,2.2706,1.5011,0.0,0.14,40.62,1.0,0.0
51513,16.78,1.3924,0.0,0.51,35.61,0.0,0.0
34305,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
1083,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
28577,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
37757,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
606,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
9610,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13664,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
12443,20.524,1.385,0.37,0.48,33.57,0.0,0.0
43557,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
39278,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
10369,20.524,1.385,0.37,0.48,33.57,0.0,0.0
22901,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
21973,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
32003,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
38843,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
19979,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
4814,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
41436,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
31064,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
13379,20.524,1.385,0.37,0.48,33.57,0.0,0.0
12756,20.524,1.385,0.37,0.48,33.57,0.0,0.0
40795,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
30415,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
47979,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
36540,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
14965,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
16291,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
6160,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
18537,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
12270,20.524,1.385,0.37,0.48,33.57,0.0,0.0
28775,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
21582,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
20961,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
43739,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
10326,20.524,1.385,0.37,0.48,33.57,0.0,0.0
377,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
42006,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
41576,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
5664,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
33449,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
39051,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
7366,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
29256,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
28759,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
16608,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37535,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
33117,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
5301,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
28481,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23274,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
16328,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
34384,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
47365,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
53896,17.44,1.5372,0.0,0.48,56.19,0.444889,0.0
19571,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
25567,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
32238,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
34703,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
43286,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
41718,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
16025,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
10125,20.524,1.385,0.37,0.48,33.57,0.0,0.0
35795,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
6685,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20366,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
39218,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
503,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
3481,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
29402,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23118,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
48739,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
33489,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
37927,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
17479,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
2168,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
4359,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
20949,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
45135,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
18230,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
38008,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
41803,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
24568,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
45453,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
35371,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
13984,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13102,20.524,1.385,0.37,0.48,33.57,0.0,0.0
13414,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
36435,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
28682,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49935,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
4566,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
41551,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
27823,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
2722,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
8739,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
38355,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
52451,12.51,1.4178,0.37,0.48,37.15,0.0,0.0
37057,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
2461,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
16795,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
4602,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
32446,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
22504,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
30043,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
23018,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
1554,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
19405,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
31905,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
4793,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
25517,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
45087,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
10179,20.524,1.385,0.37,0.48,33.57,0.0,0.0
19911,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
43614,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
43472,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
28513,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
48749,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0
33706,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
14523,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
13738,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
7823,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
9778,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27441,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
32045,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
45654,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
