,eps,n,alpha,beta,gamma,phi**2,psi**2
23482,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
42990,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
6675,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
20133,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
44925,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
52408,12.51,1.4178,0.37,0.48,37.15,0.0,0.0
39582,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
31172,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
31206,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
1408,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
11663,20.524,1.385,0.37,0.48,33.57,0.0,0.0
38293,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
38994,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
14486,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
5748,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24413,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
20730,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37259,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
31276,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
64,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
39187,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
5791,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
31343,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
11211,20.524,1.385,0.37,0.48,33.57,0.0,0.0
36371,18.246,1.3788,0.0,0.51,34.5,0.0,0.0
32212,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
48045,12.47,1.3878,0.31,0.6,28.73,0.0,0.0
4349,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
16068,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
25854,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
38981,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
9962,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
31334,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
12705,20.524,1.385,0.37,0.48,33.57,0.0,0.0
23521,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37363,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
5943,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
13819,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
48009,4.9941,1.3941,0.0,0.45,35.81,0.0,0.0
43485,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
1256,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
47109,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
44657,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
47132,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
36093,7.4257,1.405,0.0,0.48,39.44,0.0,0.0
5440,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
3047,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
23037,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
47095,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
27754,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
851,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
44677,40.245,1.4318,0.58,0.78,69.07,0.0,0.0
52938,1.8371,1.3575,0.0,0.0,22.3,0.0,0.0
31950,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
13747,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
10331,20.524,1.385,0.37,0.48,33.57,0.0,0.0
35252,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
32268,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
38612,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
38706,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
9531,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
24289,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
21620,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
37899,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
45840,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
7844,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
8774,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
10036,20.524,1.385,0.37,0.48,33.57,0.0,0.0
23600,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27674,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
43929,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
28450,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
34319,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
37912,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
24324,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
30809,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
20393,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
42096,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
38364,2.2099,1.4224,0.0,0.64,47.14,0.0,0.0
41381,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
5148,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
45167,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
14182,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
42234,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
12463,20.524,1.385,0.37,0.48,33.57,0.0,0.0
45244,2.0165,1.4266,0.0,0.0,35.48,0.0,0.0
13776,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
26806,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
22585,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27375,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
49624,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
8212,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
27911,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
19829,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
40709,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
34080,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
30669,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
31796,15.619000000000002,1.4507,0.0,0.56,49.76,0.0,0.0
148,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
16735,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
11091,20.524,1.385,0.37,0.48,33.57,0.0,0.0
42254,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
