,SP,SdP,SA,SB
19829,0.651,0.907,0.0,0.475
40709,0.681,0.997,1.062,0.025
34080,0.657,0.684,0.311,0.828
30669,0.633,0.808,0.283,0.83
31796,0.766,0.745,0.0,0.482
148,0.608,0.904,0.605,0.545
16735,0.651,0.907,0.0,0.475
11091,0.658,0.748,0.367,0.782
42254,0.67,0.559,0.0,0.548
31923,0.782,0.284,0.0,0.128
20112,0.656,0.603,0.0,0.542
713,0.608,0.904,0.605,0.545
13882,0.674,0.655,0.341,0.809
21489,0.656,0.603,0.0,0.542
23067,0.656,0.603,0.0,0.542
16779,0.651,0.907,0.0,0.475
9356,0.633,0.783,0.4,0.658
40180,0.681,0.997,1.062,0.025
43832,0.759,0.977,0.031,0.613
47189,0.645,0.637,0.0,0.527
14464,0.674,0.655,0.341,0.809
14398,0.674,0.655,0.341,0.809
16252,0.674,0.655,0.341,0.809
23343,0.656,0.603,0.0,0.542
34140,0.657,0.684,0.311,0.828
45325,0.683,0.0,0.0,0.073
2979,0.608,0.904,0.605,0.545
29882,0.633,0.808,0.283,0.83
40051,0.681,0.997,1.062,0.025
11546,0.658,0.748,0.367,0.782
31325,0.713,0.454,0.299,0.923
425,0.608,0.904,0.605,0.545
1490,0.608,0.904,0.605,0.545
26480,0.645,0.974,0.044,0.286
49188,0.648,0.707,0.0,0.477
11006,0.658,0.748,0.367,0.782
21299,0.656,0.603,0.0,0.542
24352,0.645,0.974,0.044,0.286
20588,0.656,0.603,0.0,0.542
3096,0.608,0.904,0.605,0.545
38057,0.737,0.312,0.0,0.444
14330,0.674,0.655,0.341,0.809
49526,0.783,0.614,0.047,0.071
24431,0.645,0.974,0.044,0.286
31162,0.713,0.454,0.299,0.923
42939,0.759,0.977,0.031,0.613
29832,0.633,0.808,0.283,0.83
25388,0.645,0.974,0.044,0.286
31140,0.713,0.454,0.299,0.923
27073,0.633,0.808,0.283,0.83
47679,0.674,0.535,0.0,0.525
50038,0.706,0.499,0.302,0.912
42850,0.759,0.977,0.031,0.613
4548,0.633,0.783,0.4,0.658
45831,0.683,0.0,0.0,0.073
985,0.608,0.904,0.605,0.545
42199,0.67,0.559,0.0,0.548
6102,0.633,0.783,0.4,0.658
21541,0.656,0.603,0.0,0.542
11148,0.658,0.748,0.367,0.782
37767,0.737,0.312,0.0,0.444
39223,0.681,0.997,1.062,0.025
35651,0.714,0.634,0.0,0.591
33553,0.782,0.284,0.0,0.128
20120,0.656,0.603,0.0,0.542
6380,0.633,0.783,0.4,0.658
28629,0.633,0.808,0.283,0.83
24045,0.761,0.769,0.04,0.178
17276,0.651,0.907,0.0,0.475
50008,0.783,0.614,0.047,0.071
3876,0.608,0.904,0.605,0.545
42485,0.759,0.977,0.031,0.613
16227,0.674,0.655,0.341,0.809
13711,0.674,0.655,0.341,0.809
30140,0.633,0.808,0.283,0.83
16695,0.651,0.907,0.0,0.475
26662,0.645,0.974,0.044,0.286
5799,0.633,0.783,0.4,0.658
14630,0.674,0.655,0.341,0.809
15413,0.674,0.655,0.341,0.809
33824,0.657,0.684,0.311,0.828
19762,0.651,0.907,0.0,0.475
43329,0.759,0.977,0.031,0.613
15121,0.674,0.655,0.341,0.809
31492,0.713,0.454,0.299,0.923
43517,0.759,0.977,0.031,0.613
26959,0.645,0.974,0.044,0.286
45502,0.683,0.0,0.0,0.073
44832,0.777,0.91,0.717,0.534
41560,0.681,0.997,1.062,0.025
48371,0.616,0.0,0.0,0.056
8250,0.633,0.783,0.4,0.658
52838,0.782,0.284,0.0,0.128
39067,0.681,0.997,1.062,0.025
34738,0.657,0.684,0.311,0.828
37963,0.737,0.312,0.0,0.444
703,0.608,0.904,0.605,0.545
30466,0.633,0.808,0.283,0.83
38737,0.737,0.312,0.0,0.444
21522,0.656,0.603,0.0,0.542
16487,0.651,0.907,0.0,0.475
39236,0.681,0.997,1.062,0.025
51395,0.771,0.742,0.03,0.126
3314,0.608,0.904,0.605,0.545
30224,0.633,0.808,0.283,0.83
43281,0.759,0.977,0.031,0.613
25124,0.645,0.974,0.044,0.286
24700,0.645,0.974,0.044,0.286
37650,0.656,0.706,0.221,0.888
13921,0.674,0.655,0.341,0.809
33916,0.657,0.684,0.311,0.828
37207,0.656,0.706,0.221,0.888
40873,0.681,0.997,1.062,0.025
4526,0.633,0.783,0.4,0.658
4719,0.633,0.783,0.4,0.658
14670,0.674,0.655,0.341,0.809
13720,0.674,0.655,0.341,0.809
