no.,formula,name,SP,SdP,SA,SB,smiles
126,C8H10O,2-phenylethanol,0.849,0.793,0.376,0.523,OCCc1ccccc1
127,C8H10O2,veratrole,0.851,0.606,0.0,0.34,COc1ccccc1OC
128,C8H16,cyclooctane,0.719,0.0,0.0,0.068,C1CCCCCCC1
129,C8H16O,cyclooctanol,0.777,0.537,0.137,0.919,OC1CCCCCCC1
130,C8H18,octane,0.65,0.0,0.0,0.079,CCCCCCCC
131,C8H18,"2,2,4-trimethylpentane",0.618,0.0,0.0,0.044,CC(C)CC(C)(C)C
132,C8H18O,dibutyl ether,0.672,0.175,0.0,0.637,CCCCOCCCC
133,C8H18O,1-octanol,0.713,0.454,0.299,0.923,CCCCCCCCO
134,C8H18O,2-octanol,0.696,0.496,0.088,0.963,CCCCCCC(C)O
135,C8H19N,dibutylamine,0.692,0.209,0.0,0.991,CCCCNCCCC
136,C9H10O3,ethyl salicylate,0.819,0.681,0.118,0.236,CCOC(=O)c1ccccc1O
137,C9H12,propylbenzene,0.767,0.209,0.0,0.144,CCCc1ccccc1
138,C9H12,mesitylene,0.775,0.155,0.0,0.19,Cc1cc(C)cc(C)c1
139,C9H14O6,triacetin,0.735,0.686,0.023,0.416,CC(=O)OCC(COC(C)=O)OC(C)=O
140,C9H20,nonane,0.66,0.0,0.0,0.053,CCCCCCCCC
141,C9H20O,1-nonanol,0.717,0.429,0.27,0.906,CCCCCCCCCO
142,C10H7Br,1-bromonaphthalene,0.964,0.669,0.0,0.202,Brc1cccc2ccccc12
143,C10H12,"1,2,3,4-tetrahydronaphthalene",0.838,0.182,0.0,0.18,C1CCc2ccccc2C1
144,C10H14,butylbenzene,0.765,0.176,0.0,0.149,CCCCc1ccccc1
145,C10H14,tert-butylbenzene,0.757,0.182,0.0,0.171,CC(C)(C)c1ccccc1
146,C10H14,"1,2,3,5-tetramethylbenzene",0.784,0.203,0.0,0.186,CC1=CC(=C(C(=C1)C)C)C
147,C10H18,decalin,0.744,0.0,0.0,0.056,C1CCC2CCCCC2C1
148,C10H18,cis-decalin,0.753,0.0,0.0,0.056,C1CC[C@@H]2CCCC[C@@H]2C1
149,C10H22,decane,0.669,0.0,0.0,0.066,CCCCCCCCCC
150,C10H18O,1-decanol,0.722,0.383,0.259,0.912,CCCCCCCCCCO
151,C10H18O,eucalyptol,0.736,0.343,0.0,0.737,CC12CCC(CC1)C(C)(C)O2
152,C11H10,1-methylnaphthalene,0.908,0.51,0.0,0.156,Cc1cccc2ccccc12
153,C11H24,undecane,0.678,0.0,0.0,0.08,CCCCCCCCCCC
154,C11H24O,1-undecanol,0.728,0.342,0.257,0.909,CCCCCCCCCCCO
155,C12H26,dodecane,0.683,0.0,0.0,0.086,CCCCCCCCCCCC
156,C12H26O,dihexyl ether,0.681,0.208,0.0,0.618,CCCCCCOCCCCCC
157,C12H28N,tributylamine,0.689,0.06,0.0,0.854,CCCCN(CCCC)CCCC
158,C13H28,tridecane,0.69,0.0,0.0,0.05,CCCCCCCCCCCCC
159,C14H14O,dibenzyl ether,0.877,0.509,0.0,0.33,C(OCc1ccccc1)c2ccccc2
160,C14H30,tetradecane,0.696,0.0,0.0,0.05,CCCCCCCCCCCCCC
161,C15H32,pentadecane,0.7,0.0,0.0,0.068,CCCCCCCCCCCCCCC
162,C16H34,hexadecane,0.704,0.0,0.0,0.086,CCCCCCCCCCCCCCCC
163,C30H62,squalane,0.714,0.0,0.0,0.05,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C
