Solvent,eps,n,alpha,beta,gamma,phi**2,psi**2,smiles
fluorobenzene,5.42,1.4684,0.0,0.1,38.37,0.734449,0.020449000000000005,Fc1ccccc1
formamide,108.94,1.4472,0.62,0.6,82.08,0.0,0.0,NC=O
formic acid,51.1,1.3714,0.75,0.38,53.44,0.0,0.0,O=CO
n-heptane,1.9113,1.3878,0.0,0.0,28.28,0.0,0.0,CCCCCCC
n-hexadecane,2.0402,1.4345,0.0,0.0,38.93,0.0,0.0,CCCCCCCCCCCCCCCC
n-hexane,1.8819,1.3749,0.0,0.0,25.75,0.0,0.0,CCCCCC
hexanoic acid,2.6,1.4163,0.6,0.45,39.65,0.0,0.0,CCCCCC(=O)O
iodobenzene,4.547,1.62,0.0,0.12,55.72,0.734449,0.0,Ic1ccccc1
iodoethane,7.6177,1.5133,0.0,0.15,40.96,0.0,0.0,CCI
iodomethane,6.865,1.538,0.0,0.13,43.67,0.0,0.0,CI
isopropylbenzene,2.3712,1.4915,0.0,0.16,39.85,0.44488900000000003,0.0,CC(C)c1ccccc1
p-isopropyltoluene,2.2322,1.4909,0.0,0.19,38.34,0.36,0.0,Cc1ccc(C(C)C)cc1
mesitylene,2.265,1.4994,0.0,0.19,39.65,0.44488900000000003,0.0,Cc1cc(C)cc(C)c1
methanol,32.613,1.3288,0.43,0.47,31.77,0.0,0.0,CO
methyl benzoate,6.7367,1.5164,0.0,0.46,53.5,0.36,0.0,COC(=O)c1ccccc1
methyl butanoate,5.5607,1.3878,0.0,0.45,35.44,0.0,0.0,CCCC(=O)OC
methyl ethanoate,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0,COC(C)=O
methyl methanoate,8.8377,1.3433,0.0,0.38,35.06,0.0,0.0,COC=O
methyl propanoate,6.0777,1.3775,0.0,0.45,35.18,0.0,0.0,CCC(=O)OC
N-methylaniline,5.96,1.5684,0.17,0.43,53.11,0.5625,0.0,CNc1ccccc1
methylcyclohexane,2.024,1.4231,0.0,0.0,33.52,0.0,0.0,CC1CCCCC1
N-methylformamide,181.56,1.4319,0.4,0.55,55.44,0.0,0.0,CNC=O
nitrobenzene,34.809,1.5562,0.0,0.28,57.54,0.44488900000000003,0.0,O=[N+]([O-])c1ccccc1
nitroethane,28.29,1.3917,0.02,0.33,46.25,0.0,0.0,CC[N+](=O)[O-]
nitromethane,36.562,1.3817,0.06,0.31,52.58,0.0,0.0,C[N+](=O)[O-]
o-nitrotoluene,25.669,1.545,0.0,0.27,59.12,0.36,0.0,Cc1ccccc1[N+](=O)[O-]
n-nonane,1.9605,1.4054,0.0,0.0,32.21,0.0,0.0,CCCCCCCCC
n-octane,1.9406,1.3974,0.0,0.0,30.43,0.0,0.0,CCCCCCCC
n-pentadecane,2.0333,1.4315,0.0,0.0,38.34,0.0,0.0,CCCCCCCCCCCCCCC
pentanal,10.0,1.3944,0.0,0.45,36.62,0.0,0.0,CCCCC=O
n-pentane,1.8371,1.3575,0.0,0.0,22.3,0.0,0.0,CCCCC
pentanoic acid,2.6924,1.4085,0.6,0.45,38.4,0.0,0.0,CCCCC(=O)O
pentyl ethanoate,4.7297,1.4023,0.0,0.45,36.23,0.0,0.0,CCCCCOC(C)=O
pentylamine,4.2010000000000005,1.4480000000000002,0.16,0.61,35.54,0.0,0.0,CCCCCN
perfluorobenzene,2.029,1.3777,0.0,0.0,31.74,0.25,0.25,Fc1c(F)c(F)c(F)c(F)c1F
propanal,18.5,1.3636,0.0,0.45,32.48,0.0,0.0,CCC=O
propanoic acid,3.44,1.3869,0.6,0.45,37.71,0.0,0.0,CCC(=O)O
propanonitrile,29.324,1.3655,0.02,0.36,38.5,0.0,0.0,CCC#N
propyl ethanoate,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0,CCCOC(C)=O
propylamine,4.9912,1.3869999999999998,0.16,0.61,31.31,0.0,0.0,CCCN
pyridine,12.978,1.5095,0.0,0.52,52.62,0.693889,0.0,c1ccncc1
tetrachloroethene,2.268,1.5053,0.0,0.0,45.19,0.0,0.44488900000000003,ClC(Cl)=C(Cl)Cl
tetrahydrofuran,7.4257,1.405,0.0,0.48,39.44,0.0,0.0,C1CCOC1
"tetrahydrothiophene-S,S-dioxide",43.962,1.4833,0.0,0.88,87.49,0.0,0.0,O=S1(=O)CCCC1
tetralin,2.7710000000000004,1.5413,0.0,0.19,47.74,0.36,0.0,c1ccc2c(c1)CCCC2
thiophene,2.727,1.5289,0.0,0.15,44.16,0.6400000000000001,0.0,c1ccsc1
thiophenol,4.2728,1.5893,0.09,0.16,55.24,0.734449,0.0,Sc1ccccc1
toluene,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0,Cc1ccccc1
trans-decalin,2.1781,1.4695,0.0,0.0,42.19,0.0,0.0,C1CC[C@H]2CCCC[C@@H]2C1
tributylphosphate,8.1781,1.4224,0.0,1.21,27.55,0.0,0.0,CCCCOP(=O)(OCCCC)OCCCC
trichloroethene,3.422,1.4773,0.08,0.03,41.45,0.0,0.36,ClC=C(Cl)Cl
triethylamine,2.3832,1.401,0.0,0.79,29.1,0.0,0.0,CCN(CC)CC
n-undecane,1.991,1.4398,0.0,0.0,34.85,0.0,0.0,CCCCCCCCCCC
water,78.355,1.3328,0.82,0.35,103.62,0.0,0.0,O
m-xylene,2.3478,1.4972,0.0,0.16,40.98,0.5625,0.0,Cc1cccc(C)c1
o-xylene,2.5454,1.5055,0.0,0.16,42.83,0.5625,0.0,Cc1ccccc1C
p-xylene,2.2705,1.4958,0.0,0.16,40.32,0.5625,0.0,Cc1ccc(C)cc1
dibromoethane,4.9313,1.5387,0.1,0.17,56.93,0.0,0.25,CC(Br)Br
dichloroethane,10.125,1.4448,0.1,0.11,45.86,0.0,0.25,CC(Cl)Cl
dimethylpyridine,7.1735,1.4953,0.0,0.63,44.64,0.390625,0.0,Cc1cccnc1C
isooctane,1.9358,1.3915,0.0,0.0,26.38,0.0,0.0,CCCCCC(C)C
isopropyltoluene,2.2322,1.4909,0.0,0.19,38.34,0.36,0.0,Cc1ccccc1C(C)C
methoxyethanol,17.2,1.4024,0.3,0.84,44.39,0.0,0.0,COC(C)O
trimethylbenzene,2.3653,1.5048,0.0,0.19,42.03,0.44488900000000003,0.0,Cc1cccc(C)c1C
