,ET(30) (kcal mol-1),ETN
24663,45.6,0.46
23878,40.7,0.309
35756,37.4,0.207
6305,51.9,0.654
14443,49.7,0.586
49959,39.1,0.259
32249,33.9,0.099
39082,63.1,1.0
12578,50.7,0.617
33648,48.6,0.552
9169,51.9,0.654
10317,50.7,0.617
9743,51.9,0.654
30288,48.4,0.546
23825,40.7,0.309
41100,63.1,1.0
21222,38.1,0.228
10673,50.7,0.617
21652,38.1,0.228
42244,37.5,0.21
14543,49.7,0.586
36159,37.4,0.207
32382,33.9,0.099
33829,48.6,0.552
16790,42.2,0.355
1391,55.4,0.762
26064,45.6,0.46
27046,48.4,0.546
32307,33.9,0.099
28023,48.4,0.546
45758,30.9,0.006
38493,36.0,0.164
37725,47.1,0.506
10132,50.7,0.617
42762,43.2,0.386
35359,49.1,0.586
6111,51.9,0.654
45352,30.9,0.006
3519,55.4,0.762
34409,48.6,0.552
33665,48.6,0.552
14243,49.7,0.586
11617,50.7,0.617
39385,63.1,1.0
39135,63.1,1.0
2297,55.4,0.762
36582,41.3,0.327
23899,40.7,0.309
49180,40.9,0.315
40867,63.1,1.0
47009,38.9,0.253
36264,41.3,0.327
27560,48.4,0.546
30991,48.4,0.546
7676,51.9,0.654
36471,41.3,0.327
17008,42.2,0.355
39252,63.1,1.0
8821,51.9,0.654
12656,50.7,0.617
17716,42.2,0.355
27578,48.4,0.546
25548,45.6,0.46
26344,45.6,0.46
21060,38.1,0.228
11583,50.7,0.617
8840,51.9,0.654
48554,31.0,0.009
23000,38.1,0.228
30647,48.4,0.546
48724,31.0,0.009
34074,48.6,0.552
46487,34.5,0.117
18769,42.2,0.355
36462,41.3,0.327
9718,51.9,0.654
28334,48.4,0.546
17697,42.2,0.355
2806,55.4,0.762
27603,48.4,0.546
4493,51.9,0.654
19944,42.2,0.355
25398,45.6,0.46
47636,38.9,0.253
28142,48.4,0.546
6419,51.9,0.654
3540,55.4,0.762
27401,48.4,0.546
42752,43.2,0.386
10118,50.7,0.617
48830,31.0,0.009
1469,55.4,0.762
26190,45.6,0.46
9497,51.9,0.654
4841,51.9,0.654
11605,50.7,0.617
20992,38.1,0.228
23085,38.1,0.228
35507,37.4,0.207
25783,45.6,0.46
14877,49.7,0.586
14843,49.7,0.586
15222,49.7,0.586
45128,56.3,0.79
24590,45.6,0.46
16524,42.2,0.355
39171,63.1,1.0
3621,55.4,0.762
34495,48.6,0.552
32288,33.9,0.099
49171,40.9,0.315
9662,51.9,0.654
21639,38.1,0.228
22125,38.1,0.228
32922,33.9,0.099
43881,43.2,0.386
18545,42.2,0.355
27270,48.4,0.546
161,55.4,0.762
41476,63.1,1.0
43974,43.2,0.386
43872,43.2,0.386
6413,51.9,0.654
48398,31.0,0.009
36084,37.4,0.207
11467,50.7,0.617
45286,30.9,0.006
11398,50.7,0.617
15174,49.7,0.586
14365,49.7,0.586
38225,36.0,0.164
17392,42.2,0.355
32373,33.9,0.099
34294,48.6,0.552
34921,49.1,0.586
39724,63.1,1.0
31557,39.8,0.281
27173,48.4,0.546
42563,43.2,0.386
16394,49.7,0.586
4574,51.9,0.654
3549,55.4,0.762
24633,45.6,0.46
20237,38.1,0.228
41794,63.1,1.0
35243,49.1,0.586
13956,49.7,0.586
3067,55.4,0.762
42134,63.1,1.0
20306,38.1,0.228
24878,45.6,0.46
12389,50.7,0.617
17744,42.2,0.355
21499,38.1,0.228
9700,51.9,0.654
